"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ACGL","Arch Capital Group Ltd","Financial","Insurance - Diversified","Bermuda",36347.43,6.81,96.80,0.17%,1537303
2,"AFL","Aflac Inc.","Financial","Insurance - Life","USA",55605.38,10.51,99.29,0.70%,2395847
3,"AIG","American International Group Inc","Financial","Insurance - Diversified","USA",45449.99,12.32,70.58,-0.93%,4821193
4,"AIZ","Assurant Inc","Financial","Insurance - Specialty","USA",8848.18,11.34,170.19,0.01%,547241
5,"AJG","Arthur J. Gallagher & Co.","Financial","Insurance Brokers","USA",61707.33,54.82,281.64,0.14%,965670
6,"ALL","Allstate Corp","Financial","Insurance - Property & Casualty","USA",45063.71,15.52,170.67,0.52%,1155015
7,"AMP","Ameriprise Financial Inc","Financial","Asset Management","USA",39005.94,13.45,392.73,-0.72%,625463
8,"AON","Aon plc.","Financial","Insurance Brokers","Ireland",70820.24,26.07,326.00,0.80%,873327
9,"AXP","American Express Co.","Financial","Credit Services","USA",162656.21,17.07,228.80,-1.00%,2664693
10,"BAC","Bank Of America Corp.","Financial","Banks - Diversified","USA",289432.33,13.12,37.30,1.03%,44945386
11,"BEN","Franklin Resources, Inc.","Financial","Asset Management","USA",11213.12,13.21,21.44,-1.61%,4072332
12,"BK","Bank Of New York Mellon Corp","Financial","Asset Management","USA",45532.13,14.26,61.70,-0.79%,3704797
13,"BLK","Blackrock Inc.","Financial","Asset Management","USA",124464.29,20.85,839.84,-0.13%,750863
14,"BRK-B","Berkshire Hathaway Inc.","Financial","Insurance - Diversified","USA",920309.21,13.58,427.02,1.16%,4741530
15,"BRO","Brown & Brown, Inc.","Financial","Insurance Brokers","USA",28180.84,28.44,98.79,-0.58%,1504256
16,"BX","Blackstone Inc","Financial","Asset Management","USA",155838.42,48.69,127.59,-2.09%,2970501
17,"C","Citigroup Inc","Financial","Banks - Diversified","USA",107046.66,15.66,56.11,-0.80%,19218123
18,"CB","Chubb Limited","Financial","Insurance - Property & Casualty","Switzerland",107328.24,11.22,265.71,0.20%,1863073
19,"CBOE","Cboe Global Markets Inc.","Financial","Financial Data & Stock Exchanges","USA",21160.37,27.99,202.24,2.53%,2317024
20,"CFG","Citizens Financial Group Inc","Financial","Banks - Regional","USA",17468.22,14.62,38.39,-1.18%,5941690
21,"CINF","Cincinnati Financial Corp.","Financial","Insurance - Property & Casualty","USA",19728.42,9.27,126.27,-0.40%,651035
22,"CME","CME Group Inc","Financial","Financial Data & Stock Exchanges","USA",73812.30,22.61,205.00,1.29%,3529988
23,"COF","Capital One Financial Corp.","Financial","Credit Services","USA",50516.26,12.44,132.29,-1.05%,2101003
24,"CPAY","Corpay Inc.","Technology","Software - Infrastructure","USA",18992.58,20.11,270.28,-0.25%,512172
25,"DFS","Discover Financial Services","Financial","Credit Services","USA",30984.55,10.94,123.41,-1.48%,743597
26,"EG","Everest Group Ltd","Financial","Insurance - Reinsurance","Bermuda",15604.46,5.32,360.63,0.55%,378190
27,"FDS","Factset Research Systems Inc.","Financial","Financial Data & Stock Exchanges","USA",15261.27,30.25,401.19,-0.86%,253112
28,"FI","Fiserv, Inc.","Technology","Information Technology Services","USA",89940.54,27.09,156.22,-0.71%,2318138
29,"FIS","Fidelity National Information Services, Inc.","Technology","Information Technology Services","USA",42525.31,579.61,76.45,-0.12%,5885261
30,"FITB","Fifth Third Bancorp","Financial","Banks - Regional","USA",26691.24,12.47,39.02,-0.89%,3994080
31,"GL","Globe Life Inc","Financial","Insurance - Life","USA",7996.45,8.03,88.81,-0.19%,772596
32,"GPN","Global Payments, Inc.","Technology","Software - Infrastructure","USA",25387.16,19.75,99.46,6.92%,3811602
33,"GS","Goldman Sachs Group, Inc.","Financial","Capital Markets","USA",149376.56,15.19,473.01,0.59%,2587157
34,"HBAN","Huntington Bancshares, Inc.","Financial","Banks - Regional","USA",19244.70,12.60,13.25,-1.19%,13323628
35,"HIG","Hartford Financial Services Group Inc.","Financial","Insurance - Property & Casualty","USA",30833.44,11.06,105.23,0.11%,2027320
36,"ICE","Intercontinental Exchange Inc","Financial","Financial Data & Stock Exchanges","USA",86764.03,37.40,151.12,0.41%,3314787
