"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AAL","American Airlines Group Inc","Industrials","Airlines","USA",6081.04,,9.26,-0.54%,28943270
2,"ADP","Automatic Data Processing Inc.","Industrials","Staffing & Employment Services","USA",105969.28,28.44,258.91,-0.22%,2011724
3,"ALLE","Allegion plc","Industrials","Security & Protection Services","Ireland",11023.69,20.10,126.52,-0.84%,813121
4,"AME","Ametek Inc","Industrials","Specialty Industrial Machinery","USA",36312.42,27.31,156.83,-0.10%,2319267
5,"AOS","A.O. Smith Corp.","Industrials","Specialty Industrial Machinery","USA",11706.58,20.75,80.27,-1.70%,1291718
6,"AXON","Axon Enterprise Inc","Industrials","Aerospace & Defense","USA",26357.14,92.17,349.24,18.39%,3406752
7,"BA","Boeing Co.","Industrials","Aerospace & Defense","USA",100583.59,,163.24,-1.09%,5180527
8,"BLDR","Builders Firstsource Inc","Industrials","Building Products & Equipment","USA",18658.09,13.43,152.86,-1.84%,2815536
9,"BR","Broadridge Financial Solutions, Inc.","Technology","Information Technology Services","USA",25043.52,36.13,211.91,-3.04%,895624
10,"CARR","Carrier Global Corp","Industrials","Building Products & Equipment","USA",56972.55,16.80,63.11,-1.61%,3040866
11,"CAT","Caterpillar Inc.","Industrials","Farm & Heavy Construction Machinery","USA",159332.48,14.84,325.80,-0.20%,3011205
12,"CHRW","C.H. Robinson Worldwide, Inc.","Industrials","Integrated Freight & Logistics","USA",11466.47,35.30,97.77,-1.42%,1342380
13,"CMI","Cummins Inc.","Industrials","Specialty Industrial Machinery","USA",40017.23,21.16,291.99,-0.11%,846986
14,"CPRT","Copart, Inc.","Industrials","Specialty Business Services","USA",47335.54,34.49,49.19,-0.95%,5222730
15,"CSX","CSX Corp.","Industrials","Railroads","USA",65180.44,18.45,33.62,-0.71%,10019696
16,"CTAS","Cintas Corporation","Industrials","Specialty Business Services","USA",74588.95,48.86,740.19,-0.70%,300733
17,"DAL","Delta Air Lines, Inc.","Industrials","Airlines","USA",24087.07,5.37,37.32,-2.35%,10593363
18,"DAY","Dayforce Inc","Technology","Software - Application","USA",8241.75,176.71,52.13,-0.69%,1600864
19,"DE","Deere & Co.","Industrials","Farm & Heavy Construction Machinery","USA",95341.71,10.42,345.98,-0.02%,1384513
20,"DOV","Dover Corp.","Industrials","Specialty Industrial Machinery","USA",23711.85,16.08,172.50,-1.13%,639162
21,"EFX","Equifax, Inc.","Industrials","Consulting Services","USA",34159.66,58.89,276.06,-1.37%,981384
22,"EMR","Emerson Electric Co.","Industrials","Specialty Industrial Machinery","USA",56946.83,5.30,99.54,-7.65%,8060364
23,"ETN","Eaton Corporation plc","Industrials","Specialty Industrial Machinery","Ireland",110544.41,30.54,277.68,0.01%,2856101
24,"EXPD","Expeditors International Of Washington, Inc.","Industrials","Integrated Freight & Logistics","USA",16516.36,25.10,116.93,0.71%,1633570
