"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AMT","American Tower Corp.","Real Estate","REIT - Specialty","USA",105546.07,42.44,225.97,-0.96%,3315775
2,"ARE","Alexandria Real Estate Equities Inc.","Real Estate","REIT - Office","USA",19642.89,138.51,112.29,-2.54%,1037860
3,"AVB","Avalonbay Communities Inc.","Real Estate","REIT - Residential","USA",29561.30,35.21,207.90,-0.60%,846977
4,"BXP","BXP Inc.","Real Estate","REIT - Office","USA",10668.17,63.47,67.55,-1.17%,1604875
5,"CBRE","CBRE Group Inc","Real Estate","Real Estate Services","USA",32579.64,35.59,106.32,-1.66%,1970763
6,"CCI","Crown Castle Inc","Real Estate","REIT - Specialty","USA",48354.60,40.69,111.27,-1.50%,2186143
7,"CPT","Camden Property Trust","Real Estate","REIT - Residential","USA",12572.86,32.42,117.90,0.58%,959991
8,"CSGP","Costar Group, Inc.","Real Estate","Real Estate Services","USA",30302.09,141.48,73.94,0.52%,2117973
9,"DLR","Digital Realty Trust Inc","Real Estate","REIT - Specialty","USA",48175.11,43.11,147.14,-1.00%,1210442
10,"DOC","Healthpeak Properties Inc.","Real Estate","REIT - Healthcare Facilities","USA",14845.93,45.70,21.23,-0.70%,3757401
11,"EQIX","Equinix Inc","Real Estate","REIT - Specialty","USA",74057.32,78.30,780.29,-0.55%,695016
12,"EQR","Equity Residential Properties Trust","Real Estate","REIT - Residential","USA",26554.97,28.29,70.04,-1.93%,2253804
13,"ESS","Essex Property Trust, Inc.","Real Estate","REIT - Residential","USA",17816.55,34.37,277.43,-1.06%,365249
14,"EXR","Extra Space Storage Inc.","Real Estate","REIT - Industrial","USA",34254.25,42.23,161.63,-0.96%,1155255
15,"FRT","Federal Realty Investment Trust.","Real Estate","REIT - Retail","USA",9371.04,32.86,112.00,-0.40%,695163
16,"HST","Host Hotels & Resorts Inc","Real Estate","REIT - Hotel & Motel","USA",11260.11,15.11,16.03,-1.48%,12711243
17,"INVH","Invitation Homes Inc","Real Estate","REIT - Residential","USA",21575.42,78.51,35.22,-1.04%,3599020
18,"IRM","Iron Mountain Inc.","Real Estate","REIT - Specialty","USA",30964.97,135.73,105.56,-0.84%,1933659
19,"KIM","Kimco Realty Corporation","Real Estate","REIT - Retail","USA",14500.11,40.52,21.51,-1.06%,6043178
20,"MAA","Mid-America Apartment Communities, Inc.","Real Estate","REIT - Residential","USA",17638.36,34.35,150.91,0.45%,1489499
21,"O","Realty Income Corp.","Real Estate","REIT - Retail","USA",52490.01,55.83,60.28,-0.26%,7726056
22,"PLD","Prologis Inc","Real Estate","REIT - Industrial","USA",111248.09,40.61,120.15,-0.74%,2967037
23,"PSA","Public Storage.","Real Estate","REIT - Industrial","USA",54282.45,29.04,310.15,-0.80%,906274
24,"REG","Regency Centers Corporation","Real Estate","REIT - Retail","USA",12634.22,33.43,69.61,-0.26%,1195084
25,"SBAC","SBA Communications Corp","Real Estate","REIT - Specialty","USA",23103.90,45.29,214.98,-2.42%,1018269
26,"SPG","Simon Property Group, Inc.","Real Estate","REIT - Retail","USA",49842.74,19.44,152.92,-1.68%,1568791
27,"UDR","UDR Inc","Real Estate","REIT - Residential","USA",13572.09,101.83,41.15,-0.17%,2882161
28,"VICI","VICI Properties Inc","Real Estate","REIT - Diversified","USA",32964.91,12.37,31.48,0.25%,6440768
29,"VTR","Ventas Inc","Real Estate","REIT - Healthcare Facilities","USA",23880.07,,57.80,1.10%,4248535
30,"WELL","Welltower Inc.","Real Estate","REIT - Healthcare Facilities","USA",69942.60,185.13,114.82,-0.12%,3426072
31,"WY","Weyerhaeuser Co.","Real Estate","REIT - Specialty","USA",22656.02,30.56,31.15,-1.55%,3831423
