"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"A","Agilent Technologies Inc.","Healthcare","Diagnostics & Research","USA",39084.17,31.65,133.96,-1.69%,1553900
2,"ABBV","Abbvie Inc","Healthcare","Drug Manufacturers - General","USA",331118.27,62.60,187.51,0.97%,6351035
3,"ABT","Abbott Laboratories","Healthcare","Medical Devices","USA",191284.61,34.70,109.94,0.40%,6365135
4,"ALGN","Align Technology, Inc.","Healthcare","Medical Devices","USA",15241.04,34.61,204.03,-1.13%,742849
5,"AMGN","AMGEN Inc.","Healthcare","Drug Manufacturers - General","USA",167634.37,53.83,312.50,-5.00%,4617878
6,"BAX","Baxter International Inc.","Healthcare","Medical Instruments & Supplies","USA",18645.53,,36.59,-0.89%,5157393
7,"BDX","Becton Dickinson & Co.","Healthcare","Medical Instruments & Supplies","USA",67236.48,47.86,232.62,-1.23%,1104432
8,"BIIB","Biogen Inc","Healthcare","Drug Manufacturers - General","USA",29099.95,25.16,199.78,-0.17%,971265
9,"BIO","Bio-Rad Laboratories Inc.","Healthcare","Medical Devices","USA",9089.04,,318.69,-2.52%,163816
10,"BMY","Bristol-Myers Squibb Co.","Healthcare","Drug Manufacturers - General","USA",94274.10,,46.50,-1.71%,16891644
11,"BSX","Boston Scientific Corp.","Healthcare","Medical Devices","USA",108650.64,59.69,73.78,0.03%,4624119
12,"CAH","Cardinal Health, Inc.","Healthcare","Medical Distribution","USA",24286.36,44.20,99.71,0.19%,1558455
13,"CI","Cigna Group","Healthcare","Healthcare Plans","USA",91974.75,25.88,329.01,-0.09%,1933696
14,"CNC","Centene Corp.","Healthcare","Healthcare Plans","USA",39336.52,14.19,74.78,-0.87%,3658258
15,"COO","Cooper Companies, Inc.","Healthcare","Medical Instruments & Supplies","USA",18279.22,53.99,91.80,-0.75%,717397
16,"COR","Cencora Inc.","Healthcare","Medical Distribution","USA",47508.76,26.17,241.10,0.53%,1051450
17,"CRL","Charles River Laboratories International Inc.","Healthcare","Diagnostics & Research","USA",10299.94,23.22,199.96,-12.60%,3954873
