"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ABNB","Airbnb Inc","Consumer Cyclical","Travel Services","USA",71591.84,15.39,113.01,-13.38%,29020714
2,"AMZN","Amazon.com Inc.","Consumer Cyclical","Internet Retail","USA",1708368.86,39.00,162.77,0.52%,48300576
3,"APTV","Aptiv PLC","Consumer Cyclical","Auto Parts","Ireland",18047.76,5.13,67.91,-1.65%,3836322
4,"AZO","Autozone Inc.","Consumer Cyclical","Specialty Retail","USA",52680.53,21.33,3084.34,-1.13%,100931
5,"BBWI","Bath & Body Works Inc","Consumer Cyclical","Specialty Retail","USA",6821.91,7.86,30.56,-3.47%,3933101
6,"BBY","Best Buy Co. Inc.","Consumer Cyclical","Specialty Retail","USA",17407.80,14.13,80.70,-1.59%,2055679
7,"BKNG","Booking Holdings Inc","Consumer Cyclical","Travel Services","USA",110804.39,23.14,3305.62,-3.26%,419668
8,"BWA","BorgWarner Inc","Consumer Cyclical","Auto Parts","USA",7208.92,10.18,31.65,-0.66%,2180421
9,"CCL","Carnival Corp.","Consumer Cyclical","Travel Services","USA",17754.17,21.50,14.01,-3.65%,29532203
10,"CMG","Chipotle Mexican Grill","Consumer Cyclical","Restaurants","USA",73445.21,52.55,53.63,-0.83%,11229837
11,"CZR","Caesars Entertainment Inc","Consumer Cyclical","Resorts & Casinos","USA",7567.57,,34.98,1.19%,6795372
12,"DECK","Deckers Outdoor Corp.","Consumer Cyclical","Footwear & Accessories","USA",21427.75,26.86,843.28,-2.98%,394183
13,"DHI","D.R. Horton Inc.","Consumer Cyclical","Residential Construction","USA",55100.76,11.35,169.00,-2.67%,3203721
14,"DPZ","Dominos Pizza Inc","Consumer Cyclical","Restaurants","USA",14956.40,26.29,427.57,-0.33%,573543
15,"DRI","Darden Restaurants, Inc.","Consumer Cyclical","Restaurants","USA",16861.48,16.66,141.86,-1.12%,1665214
16,"EBAY","EBay Inc.","Consumer Cyclical","Internet Retail","USA",26948.79,10.75,55.11,-1.45%,4871297
17,"ETSY","Etsy Inc","Consumer Cyclical","Internet Retail","USA",6123.06,24.79,53.36,-1.15%,3629370
18,"EXPE","Expedia Group Inc","Consumer Cyclical","Travel Services","USA",15000.90,21.25,113.24,-3.65%,3039777
19,"F","Ford Motor Co.","Consumer Cyclical","Auto Manufacturers","USA",38838.19,10.28,9.77,-0.10%,69375159
