"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AAN","Aarons Company Inc","Industrials","Rental & Leasing Services","USA",307.71,,10.02,0.20%,214856
2,"AAOI","Applied Optoelectronics Inc","Technology","Communication Equipment","USA",350.51,,8.57,24.75%,2650099
3,"AAT","American Assets Trust Inc","Real Estate","REIT - Diversified","USA",1535.90,28.45,25.22,-0.28%,249191
4,"ABCB","Ameris Bancorp","Financial","Banks - Regional","USA",3919.92,12.57,56.72,2.38%,209374
5,"ABG","Asbury Automotive Group Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",4725.83,12.03,234.30,3.11%,85963
6,"ABM","ABM Industries Inc.","Industrials","Specialty Business Services","USA",3289.25,13.71,52.41,0.83%,218527
7,"ABOS","Acumen Pharmaceuticals Inc","Healthcare","Biotechnology","USA",164.62,,2.74,3.01%,135553
8,"ABR","Arbor Realty Trust Inc.","Real Estate","REIT - Mortgage","USA",2547.31,9.49,13.51,1.81%,2008526
9,"ABSI","Absci Corp","Healthcare","Biotechnology","USA",426.31,,3.77,3.57%,690226
10,"ABUS","Arbutus Biopharma Corp","Healthcare","Biotechnology","USA",679.39,,3.60,2.56%,604150
11,"ACA","Arcosa Inc","Industrials","Engineering & Construction","USA",4004.84,27.24,82.10,3.78%,340783
12,"ACAD","Acadia Pharmaceuticals Inc","Healthcare","Biotechnology","USA",2596.43,88.04,15.72,3.59%,2474677
13,"ACCD","Accolade Inc","Healthcare","Health Information Services","USA",290.44,,3.63,1.97%,497652
14,"ACCO","Acco Brands Corporation","Industrials","Business Equipment & Supplies","USA",461.76,,4.82,3.88%,541019
15,"ACDC","ProFrac Holding Corp","Energy","Oil & Gas Equipment & Services","USA",976.43,,6.11,-15.21%,2194004
16,"ACEL","Accel Entertainment Inc","Consumer Cyclical","Gambling","USA",899.84,19.33,10.89,2.64%,162843
17,"ACHR","Archer Aviation Inc","Industrials","Aerospace & Defense","USA",1360.43,,3.99,3.91%,8977871
18,"ACHV","Achieve Life Sciences Inc.","Healthcare","Biotechnology","Canada",154.87,,4.51,2.38%,102727
19,"ACIC","American Coastal Insurance Corp","Financial","Insurance - Property & Casualty","USA",539.04,7.94,11.27,-3.26%,368767
20,"ACIW","ACI Worldwide Inc","Technology","Software - Infrastructure","USA",4846.80,27.41,46.31,2.09%,652173
21,"ACLS","Axcelis Technologies Inc","Technology","Semiconductor Equipment & Materials","USA",3745.75,15.82,114.83,11.83%,858549
22,"ACLX","Arcellx Inc","Healthcare","Biotechnology","USA",2813.03,,52.58,3.28%,549852
23,"ACMR","ACM Research Inc","Technology","Semiconductor Equipment & Materials","USA",1208.57,15.50,19.49,10.80%,2554225
24,"ACNB","ACNB Corp.","Financial","Banks - Regional","USA",323.19,10.34,37.80,2.58%,13328
25,"ACRE","Ares Commercial Real Estate Corp","Real Estate","REIT - Mortgage","USA",373.46,,6.85,-0.29%,653465
26,"ACRV","Acrivon Therapeutics Inc","Healthcare","Biotechnology","USA",221.72,,7.18,2.72%,44290
27,"ACT","Enact Holdings Inc","Financial","Insurance - Specialty","USA",5159.90,7.97,33.14,1.38%,132971
28,"ACTG","Acacia Research Corp","Industrials","Business Equipment & Supplies","USA",491.51,16.76,4.92,2.29%,284423
29,"ACVA","ACV Auctions Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",2979.87,,18.05,21.71%,2588172
30,"ADCT","Adc Therapeutics SA","Healthcare","Biotechnology","Switzerland",271.59,,2.81,2.55%,356416
31,"ADEA","Adeia Inc","Technology","Software - Application","USA",1150.10,26.93,11.03,5.35%,633610
32,"ADMA","Adma Biologics Inc","Healthcare","Biotechnology","USA",2825.76,,12.19,6.46%,4320188
33,"ADNT","Adient plc","Consumer Cyclical","Auto Parts","USA",1855.40,28.75,21.28,-0.88%,1609992
34,"ADPT","Adaptive Biotechnologies Corp","Healthcare","Biotechnology","USA",648.87,,4.40,5.01%,1176609
35,"ADTN","ADTRAN Holdings Inc","Technology","Communication Equipment","USA",387.69,,4.90,4.26%,835172
36,"ADUS","Addus HomeCare Corporation","Healthcare","Medical Care Facilities","USA",2252.91,29.57,124.47,1.84%,144455
37,"ADV","Advantage Solutions Inc.","Communication Services","Advertising Agencies","USA",1209.79,,3.76,-0.27%,551530
38,"ADVM","Adverum Biotechnologies Inc","Healthcare","Biotechnology","USA",143.66,,6.92,2.52%,314961
39,"AEHR","Aehr Test Systems","Technology","Semiconductor Equipment & Materials","USA",411.77,12.42,13.93,6.83%,834375
40,"AEIS","Advanced Energy Industries Inc.","Industrials","Electrical Equipment & Parts","USA",3745.90,41.46,99.44,3.93%,278224
41,"AEO","American Eagle Outfitters Inc.","Consumer Cyclical","Apparel Retail","USA",4093.60,18.88,20.84,3.84%,4525766
42,"AESI","Atlas Energy Solutions Inc.","Energy","Oil & Gas Equipment & Services","USA",2193.01,19.42,19.96,4.18%,669888
43,"AEVA","Aeva Technologies Inc","Technology","Software - Infrastructure","USA",151.68,,2.87,2.14%,341094
44,"AEYE","AudioEye Inc","Technology","Software - Application","USA",252.69,,21.27,6.14%,86240
45,"AFCG","AFC Gamma Inc","Real Estate","REIT - Specialty","USA",200.50,13.35,9.70,3.19%,271901
46,"AFRI","Forafric Global PLC","Consumer Defensive","Farm Products","United Kingdom",287.62,,10.70,1.71%,5647
47,"AGEN","Agenus Inc","Healthcare","Biotechnology","USA",110.88,,5.28,3.94%,329690
48,"AGIO","Agios Pharmaceuticals Inc","Healthcare","Biotechnology","USA",2491.21,,43.79,2.87%,474434
49,"AGL","Agilon Health Inc","Healthcare","Medical Care Facilities","USA",2304.29,,5.60,-0.71%,3396199
50,"AGM","Federal Agricultural Mortgage Corp.","Financial","Credit Services","USA",1945.02,10.91,178.77,1.84%,32876
51,"AGS","PlayAGS Inc","Consumer Cyclical","Gambling","USA",455.75,95.21,11.34,-0.26%,275816
52,"AGX","Argan, Inc.","Industrials","Engineering & Construction","USA",940.37,25.04,70.44,1.65%,73592
53,"AGYS","Agilysys, Inc","Technology","Software - Application","USA",3031.67,30.10,108.74,3.30%,166451
54,"AHCO","AdaptHealth Corp","Healthcare","Medical Devices","USA",1274.78,,9.48,4.41%,2027133
55,"AHH","Armada Hoffler Properties Inc","Real Estate","REIT - Diversified","USA",1012.04,,11.42,-0.52%,321669
56,"AHR","American Healthcare REIT Inc","Real Estate","REIT - Healthcare Facilities","USA",2199.87,,16.71,1.70%,1788214
57,"AI","C3.ai Inc","Technology","Software - Application","USA",3101.78,,24.85,6.20%,2570178
58,"AILE","iLearningEngines Inc.","Technology","Software - Infrastructure","USA",69.31,,5.96,3.65%,143091
59,"AIN","Albany International Corp.","Consumer Cyclical","Textile Manufacturing","USA",2779.30,25.48,89.08,1.92%,157422
60,"AIOT","PowerFleet Inc","Technology","Software - Infrastructure","USA",507.77,,4.73,1.50%,891414
61,"AIP","Arteris Inc","Technology","Semiconductors","USA",278.35,,7.09,5.98%,121676
62,"AIR","AAR Corp.","Industrials","Aerospace & Defense","USA",2158.53,46.50,60.21,3.15%,213745
63,"AIRS","Airsculpt Technologies Inc","Healthcare","Medical Care Facilities","USA",226.83,156.97,3.94,2.07%,34228
64,"AISP","Airship AI Holdings Inc","Technology","Software - Infrastructure","USA",71.46,4.62,3.01,-2.59%,265410
65,"AIT","Applied Industrial Technologies Inc.","Industrials","Industrial Distribution","USA",7594.94,20.64,196.76,2.01%,251682
66,"AIV","Apartment Investment & Management Co.","Real Estate","REIT - Residential","USA",1248.43,,8.62,-1.49%,1367250
67,"AKA","a.k.a. Brands Holding Corp","Consumer Cyclical","Apparel Retail","USA",177.11,,16.90,16.79%,9068
68,"AKBA","Akebia Therapeutics Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",249.42,,1.19,7.21%,2224112
69,"AKR","Acadia Realty Trust","Real Estate","REIT - Retail","USA",2257.22,3456.45,21.43,1.13%,1098827
70,"AKRO","Akero Therapeutics Inc","Healthcare","Biotechnology","USA",1723.91,,24.93,5.28%,474670
71,"AKYA","Akoya Biosciences Inc","Healthcare","Medical Instruments & Supplies","USA",103.45,,2.09,6.63%,172925
72,"ALCO","Alico Inc.","Consumer Defensive","Farm Products","USA",211.96,8.12,27.78,0.87%,10019
73,"ALDX","Aldeyra Therapeutics Inc","Healthcare","Biotechnology","USA",248.97,,4.19,28.53%,4751686
74,"ALE","Allete, Inc.","Utilities","Utilities - Diversified","USA",3705.82,16.72,64.17,0.44%,289652
75,"ALEC","Alector Inc","Healthcare","Biotechnology","USA",491.54,,5.10,3.87%,486269
76,"ALEX","Alexander & Baldwin Inc.","Real Estate","REIT - Retail","USA",1389.95,34.66,19.14,1.27%,269199
77,"ALG","Alamo Group Inc.","Industrials","Farm & Heavy Construction Machinery","USA",2109.05,16.56,174.88,3.31%,74226
78,"ALGT","Allegiant Travel","Industrials","Airlines","USA",748.47,,40.90,4.52%,444642
79,"ALHC","Alignment Healthcare Inc","Healthcare","Healthcare Plans","USA",1610.75,,8.42,-3.77%,681514
80,"ALIM","Alimera Sciences Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",293.48,,5.57,0.36%,136994
81,"ALIT","Alight Inc.","Technology","Software - Application","USA",3733.25,,6.90,1.62%,5229820
82,"ALKS","Alkermes plc","Healthcare","Drug Manufacturers - Specialty & Generic","Ireland",4404.92,15.85,26.75,1.17%,1699097
83,"ALKT","Alkami Technology Inc","Technology","Software - Application","USA",3335.96,,33.70,5.21%,350323
84,"ALLO","Allogene Therapeutics Inc","Healthcare","Biotechnology","USA",492.72,,2.36,-4.45%,2620996
85,"ALNT","Allient Inc","Technology","Electronic Components","USA",343.32,17.61,20.46,-14.25%,378730
86,"ALRM","Alarm.com Holdings Inc","Technology","Software - Application","USA",3292.46,38.80,65.60,1.91%,505947
87,"ALRS","Alerus Financial Corp","Financial","Banks - Regional","USA",414.92,58.31,20.84,2.11%,25413
88,"ALT","Altimmune Inc","Healthcare","Biotechnology","USA",448.80,,6.33,15.09%,5593280
89,"ALTG","Alta Equipment Group Inc","Industrials","Rental & Leasing Services","USA",212.49,,6.41,-21.73%,1682870
90,"ALTI","AlTi Global Inc","Financial","Asset Management","USA",273.33,,3.81,0.13%,186262
91,"ALTM","Arcadium Lithium PLC","Basic Materials","Specialty Chemicals","Ireland",2989.08,,2.78,3.73%,9433903
92,"ALTR","Altair Engineering Inc","Technology","Software - Infrastructure","USA",7353.51,296.02,89.22,4.47%,398306
93,"ALX","Alexander's Inc.","Real Estate","REIT - Retail","USA",1127.01,21.96,220.55,-0.24%,7234
94,"ALXO","Alx Oncology Holdings Inc","Healthcare","Biotechnology","USA",137.02,,2.63,2.33%,1501530
95,"AMAL","Amalgamated Financial Corp","Financial","Banks - Regional","USA",880.59,8.91,28.74,2.64%,153360
96,"AMBA","Ambarella Inc","Technology","Semiconductor Equipment & Materials","USA",1767.90,,43.13,8.39%,535287
97,"AMBC","AMBAC Financial Group Inc.","Financial","Insurance - Specialty","USA",501.92,6.70,10.58,0.47%,659767
