"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"A","Agilent Technologies Inc.","Healthcare","Diagnostics & Research","USA",39901.10,32.31,136.76,2.09%,976850
2,"AAL","American Airlines Group Inc","Industrials","Airlines","USA",6494.76,,9.89,6.80%,34657973
3,"AAPL","Apple Inc","Technology","Consumer Electronics","USA",3243186.53,32.48,213.31,1.66%,47115011
4,"ABBV","Abbvie Inc","Healthcare","Drug Manufacturers - General","USA",336221.64,63.68,190.40,1.54%,5744651
5,"ABNB","Airbnb Inc","Consumer Cyclical","Travel Services","USA",72624.44,15.61,114.64,1.44%,7998794
6,"ABT","Abbott Laboratories","Healthcare","Medical Devices","USA",190971.43,34.64,109.76,-0.16%,5475895
7,"ACGL","Arch Capital Group Ltd","Financial","Insurance - Diversified","Bermuda",37004.30,6.92,98.40,1.65%,1091785
8,"ACN","Accenture plc","Technology","Information Technology Services","Ireland",197860.92,28.91,315.88,-0.67%,2213194
9,"ADBE","Adobe Inc","Technology","Software - Infrastructure","USA",235108.41,47.62,530.24,3.24%,2154013
10,"ADI","Analog Devices Inc.","Technology","Semiconductors","USA",106012.44,50.01,213.64,6.12%,4509787
11,"ADM","Archer Daniels Midland Co.","Consumer Defensive","Farm Products","USA",27961.63,11.72,58.48,0.52%,1849137
12,"ADP","Automatic Data Processing Inc.","Industrials","Staffing & Employment Services","USA",107557.32,28.87,262.79,1.50%,1968045
13,"ADSK","Autodesk Inc.","Technology","Software - Application","USA",51569.39,51.85,239.29,2.89%,911206
14,"AEE","Ameren Corp.","Utilities","Utilities - Regulated Electric","USA",21398.96,18.16,80.20,-0.36%,1458466
15,"AEP","American Electric Power Company Inc.","Utilities","Utilities - Regulated Electric","USA",52169.05,19.56,98.04,-1.54%,3077405
16,"AES","AES Corp.","Utilities","Utilities - Diversified","USA",11836.82,15.88,16.65,1.59%,11742460
17,"AFL","Aflac Inc.","Financial","Insurance - Life","USA",56484.63,10.67,100.86,1.58%,2004717
18,"AIG","American International Group Inc","Financial","Insurance - Diversified","USA",46454.55,12.60,72.14,2.21%,4444619
19,"AIZ","Assurant Inc","Financial","Insurance - Specialty","USA",8852.34,11.35,170.27,0.05%,316957
20,"AJG","Arthur J. Gallagher & Co.","Financial","Insurance Brokers","USA",61970.24,55.05,282.84,0.43%,955020
21,"AKAM","Akamai Technologies Inc","Technology","Software - Infrastructure","USA",13947.94,22.80,91.57,-1.16%,4530449
22,"ALB","Albemarle Corp.","Basic Materials","Specialty Chemicals","USA",9617.48,,81.83,3.50%,3296662
23,"ALGN","Align Technology, Inc.","Healthcare","Medical Devices","USA",15997.00,36.33,214.15,4.96%,982396
24,"ALL","Allstate Corp","Financial","Insurance - Property & Casualty","USA",45024.10,15.50,170.52,-0.09%,1006785
25,"ALLE","Allegion plc","Industrials","Security & Protection Services","Ireland",11279.85,20.57,129.46,2.32%,943662
26,"AMAT","Applied Materials Inc.","Technology","Semiconductor Equipment & Materials","USA",157771.59,21.90,190.55,6.74%,8633761
27,"AMCR","Amcor Plc","Consumer Cyclical","Packaging & Containers","United Kingdom",15335.06,23.57,10.61,2.12%,12825575
28,"AMD","Advanced Micro Devices Inc.","Technology","Semiconductors","USA",220631.21,164.26,136.32,5.95%,48876993
29,"AME","Ametek Inc","Industrials","Specialty Industrial Machinery","USA",36780.13,27.67,158.85,1.29%,1666832
30,"AMGN","AMGEN Inc.","Healthcare","Drug Manufacturers - General","USA",174173.46,55.94,324.69,3.90%,2746618
31,"AMP","Ameriprise Financial Inc","Financial","Asset Management","USA",39328.04,13.72,400.53,1.99%,491290
32,"AMT","American Tower Corp.","Real Estate","REIT - Specialty","USA",104443.76,42.00,223.61,-1.04%,2942187
33,"AMZN","Amazon.com Inc.","Consumer Cyclical","Internet Retail","USA",1740170.51,39.72,165.80,1.86%,44548199
34,"ANET","Arista Networks Inc","Technology","Computer Hardware","USA",105083.17,43.36,334.50,5.41%,1424557
35,"ANSS","Ansys Inc.","Technology","Software - Application","USA",27008.75,54.69,309.06,3.43%,348163
36,"AON","Aon plc.","Financial","Insurance Brokers","Ireland",71024.45,26.15,326.94,0.29%,1022751
37,"AOS","A.O. Smith Corp.","Industrials","Specialty Industrial Machinery","USA",11738.66,20.81,80.49,0.27%,1075079
38,"APA","APA Corporation","Energy","Oil & Gas E&P","USA",10523.66,3.11,28.45,5.29%,4666653
39,"APD","Air Products & Chemicals Inc.","Basic Materials","Specialty Chemicals","USA",62071.17,24.26,279.21,0.64%,940774
