ticker,name,market,locale,active,currency_symbol,currency_name,base_currency_symbol,base_currency_name,last_updated_utc
X:1INCHUSD,1inch - United States Dollar,crypto,global,True,USD,United States Dollar,1INCH,1inch,2017-01-01T00:00:00Z
X:AAVEUSD,Aave - United States Dollar,crypto,global,True,USD,United States Dollar,AAVE,Aave,2017-01-01T00:00:00Z
X:ABTUSD,Arcblock - United States Dollar,crypto,global,True,USD,United States Dollar,ABT,Arcblock,2017-01-01T00:00:00Z
X:ACHUSD,Alchemy Pay - United States Dollar,crypto,global,True,USD,United States Dollar,ACH,Alchemy Pay,2017-01-01T00:00:00Z
X:ADAUSD,Cardano - United States Dollar,crypto,global,True,USD,United States Dollar,ADA,Cardano,2017-01-01T00:00:00Z
X:AERGOUSD,Aergo - United States Dollar,crypto,global,True,USD,United States Dollar,AERGO,Aergo,2017-01-01T00:00:00Z
X:AIOZUSD,AIOZ Network - United States Dollar,crypto,global,True,USD,United States Dollar,AIOZ,AIOZ Network,2017-01-01T00:00:00Z
X:AKTEUR,Akash Network - Euro,crypto,global,True,EUR,Euro,AKT,Akash Network,2017-01-01T00:00:00Z
X:AKTUSD,Akash Network - United States Dollar,crypto,global,True,USD,United States Dollar,AKT,Akash Network,2017-01-01T00:00:00Z
X:ALBTUSD,AllianceBlock - United States Dollar,crypto,global,True,USD,United States Dollar,ALBT,AllianceBlock,2017-01-01T00:00:00Z
X:ALCXUSD,Alchemix - United States Dollar,crypto,global,True,USD,United States Dollar,ALCX,Alchemix,2017-01-01T00:00:00Z
X:ALGOUSD,Algorand - United States Dollar,crypto,global,True,USD,United States Dollar,ALGO,Algorand,2017-01-01T00:00:00Z
X:ALICEUSD,MyNeighborAlice - United States Dollar,crypto,global,True,USD,United States Dollar,ALICE,MyNeighborAlice,2017-01-01T00:00:00Z
X:ALPHAUSD,Stella - United States Dollar,crypto,global,True,USD,United States Dollar,ALPHA,Stella,2017-01-01T00:00:00Z
X:AMPUSD,Amp - United States Dollar,crypto,global,True,USD,United States Dollar,AMP,Amp,2017-01-01T00:00:00Z
X:ANKRUSD,Ankr - United States Dollar,crypto,global,True,USD,United States Dollar,ANKR,Ankr,2017-01-01T00:00:00Z
X:ANTUSD,Aragon - United States Dollar,crypto,global,True,USD,United States Dollar,ANT,Aragon,2017-01-01T00:00:00Z
X:APEUSD,ApeCoin - United States Dollar,crypto,global,True,USD,United States Dollar,APE,ApeCoin,2017-01-01T00:00:00Z
X:API3USD,API3 - United States Dollar,crypto,global,True,USD,United States Dollar,API3,API3,2017-01-01T00:00:00Z
X:ARKMUSD,Arkham - United States Dollar,crypto,global,True,USD,United States Dollar,ARKM,Arkham,2017-01-01T00:00:00Z
X:ARPAUSD,ARPA Chain - United States Dollar,crypto,global,True,USD,United States Dollar,ARPA,ARPA Chain,2017-01-01T00:00:00Z
X:ASMUSD,Assemble Protocol - United States Dollar,crypto,global,True,USD,United States Dollar,ASM,Assemble Protocol,2017-01-01T00:00:00Z
X:ASTUSD,AirSwap - United States Dollar,crypto,global,True,USD,United States Dollar,AST,AirSwap,2017-01-01T00:00:00Z
X:ATOMUSD,Cosmos - United States Dollar,crypto,global,True,USD,United States Dollar,ATOM,Cosmos,2017-01-01T00:00:00Z
X:AUCTIONUSD,Bounce Token - United States Dollar,crypto,global,True,USD,United States Dollar,AUCTION,Bounce Token,2017-01-01T00:00:00Z
X:AVAXUSD,Avalanche - United States Dollar,crypto,global,True,USD,United States Dollar,AVAX,Avalanche,2017-01-01T00:00:00Z
X:AVTUSD,Aventus - United States Dollar,crypto,global,True,USD,United States Dollar,AVT,Aventus,2017-01-01T00:00:00Z
X:AXLUSD,Axelar - United States Dollar,crypto,global,True,USD,United States Dollar,AXL,Axelar,2017-01-01T00:00:00Z
X:AXSUSD,Axie Infinity - United States Dollar,crypto,global,True,USD,United States Dollar,AXS,Axie Infinity,2017-01-01T00:00:00Z
X:BADGERUSD,Badger Dao - United States Dollar,crypto,global,True,USD,United States Dollar,BADGER,Badger Dao,2017-01-01T00:00:00Z
X:BALUSD,Balancer - United States Dollar,crypto,global,True,USD,United States Dollar,BAL,Balancer,2017-01-01T00:00:00Z
X:BANDUSD,Band Protocol - United States Dollar,crypto,global,True,USD,United States Dollar,BAND,Band Protocol,2017-01-01T00:00:00Z
X:BATUSD,Basic Attention Token - United States Dollar,crypto,global,True,USD,United States Dollar,BAT,Basic Attention Token,2017-01-01T00:00:00Z
X:BCHEUR,Bitcoin Cash - Euro,crypto,global,True,EUR,Euro,BCH,Bitcoin Cash,2017-01-01T00:00:00Z
